Label	Name	Lat	Abbrev
1	Accumbens	Left	Acb
2	Caudate	Left	Cd
3	Claustrum	Left	Cl
4	Thalamus-lateral-geniculate	Left	LGN
5	Thalamus-medial-geniculate	Left	MGN
6	Pallidum-external	Left	GPe
7	Pallidum-internal	Left	GPi
9	Putamen	Left	PuT
10	Red-nucleus	Left	RN
11	Sub-thalamic	Left	STh
12	Substancia-nigra	Left	SN
14	Thalamus-anterior	Left	AV
15	Thalamus-lateral	Left	LT
16	Thalamus-medial	Left	MT
17	Thalamus-lateral-posterior	Left	LP
18	Striatum-grey-fibers	Left	sgf
19	Thalamus-posterior	Left	Po
20	Thalamus-pulvinar-anterior	Left	PuA
26	Thalamus-centromedian	Left	CM
27	Thalamus-mediodorsal	Left	MD
28	Thalamus-Central-Lateral	Left	CL
29	Thalamus-pulvinar	Left	Pu
30	Thalamus-Habenula	Left	Hb
31	Thalamus-MTT	Left	mtt
51	Accumbens	Right	Acb
52	Caudate	Right	Cd
53	Claustrum	Right	Cl
54	Thalamus-lateral-geniculate	Right	LGN
55	Thalamus-medial-geniculate	Right	MGN
56	Pallidum-external	Right	GPe
57	Pallidum-internal	Right	GPi
59	Putamen	Right	PuT
60	Red-nucleus	Right	RN
61	Sub-thalamic	Right	STh
62	Substancia-nigra	Right	SN
64	Thalamus-anterior	Right	AV
65	Thalamus-lateral	Right	LT
66	Thalamus-medial	Right	MT
67	Thalamus-lateral-posterior	Right	LP
68	Striatum-grey-fibers	Right	sgf
69	Thalamus-posterior	Right	Po
70	Thalamus-pulvinar-anterior	Right	PuA
76	Thalamus-centromedian	Right	CM
77	Thalamus-mediodorsal	Right	MD
78	Thalamus-Central-Lateral	Right	CL
79	Thalamus-pulvinar	Right	Pu
80	Thalamus-Habenula	Right	Hb
81	Thalamus-MTT	Right	mtt
